,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Thr_comb,NoARS_Load_chi,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Load_comb,NoARS_Int_chi,NoARS_Int_RMSEA,NoARS_Int_cfi,NoARS_Int_comb
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.170,0.050,0.080,0.110,0.920,0.650,0.790,0.830
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,0.000,0.010,0.040,0.000,0.000,0.000,0.080,0.010,0.000,0.010,0.990,0.120,0.650,0.650
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.220,0.000,0.000,0.000,1.000,0.870,1.000,1.000
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.360,0.000,0.000,0.000,1.000,0.060,0.970,0.970
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.060,0.020,0.010,0.020,0.940,0.690,0.880,0.900
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.950,0.100,0.530,0.540
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.050,0.000,0.000,0.000,1.000,0.940,0.990,0.990
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.060,0.000,0.000,0.000,1.000,0.060,0.880,0.880
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.060,0.020,0.000,0.020,0.090,0.030,0.010,0.030,0.240,0.090,0.110,0.150
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.270,0.020,0.000,0.020
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.090,0.000,0.000,0.000,0.100,0.010,0.000,0.010,0.780,0.150,0.000,0.150
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.140,0.000,0.000,0.000,0.930,0.010,0.000,0.010
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,1.000,0.900,0.090,0.000,0.040,0.000,0.770,0.000,0.020,0.020,1.000,0.420,0.990,0.990
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1.000,0.960,0.080,0.000,0.000,0.000,0.860,0.000,0.000,0.000,1.000,0.000,0.660,0.660
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.120,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.600,1.000,1.000
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,1.000,1.000,0.130,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.040,0.000,0.150,0.000,0.360,0.000,0.000,0.000,1.000,0.100,0.890,0.890
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,0.810,0.080,0.000,0.000,0.000,0.820,0.000,0.000,0.000,1.000,0.000,0.070,0.070
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,1.000,1.000,0.210,0.000,0.090,0.040,0.960,0.000,0.000,0.000,1.000,0.060,1.000,1.000
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,1.000,0.980,0.270,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.020,0.020
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.070,0.030,0.000,0.020,0.130,0.060,0.000,0.030,0.160,0.070,0.000,0.040
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.210,0.000,0.000,0.000
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.080,0.000,0.000,0.000,0.540,0.000,0.000,0.000,0.630,0.000,0.000,0.000
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.150,0.000,0.000,0.000,0.830,0.000,0.000,0.000,0.890,0.000,0.000,0.000
