,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Int_chi,ARS_Int_df,ARS_Int_RMSEA,ARS_Int_cfi
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,98.8 (15.5),106.000,0.003 (0.005),1.000 (0.001),121.1 (17.4),130.000,0.003 (0.005),1.000 (0.001),133.1 (17.6),141.000,0.003 (0.005),1.000 (0.001),140 (16.8),151.000,0.002 (0.004),1.000 (0.001)
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,502.9 (29.2),502.000,0.003 (0.004),1.000 (0.001),542.1 (31.9),550.000,0.002 (0.003),1.000 (0.000),573.7 (30.7),573.000,0.003 (0.004),1.000 (0.001),583.2 (31),595.000,0.002 (0.003),1.000 (0.000)
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,116.1 (14.8),106.000,0.017 (0.013),0.997 (0.003),140.2 (16.4),130.000,0.015 (0.012),0.997 (0.003),152.6 (18.2),141.000,0.016 (0.012),0.997 (0.004),162 (18),151.000,0.015 (0.012),0.997 (0.003)
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,568.6 (34.6),502.000,0.022 (0.007),0.994 (0.003),584.2 (27.8),550.000,0.014 (0.007),0.997 (0.002),639 (40.5),573.000,0.020 (0.008),0.994 (0.004),658.8 (39.5),595.000,0.020 (0.007),0.994 (0.003)
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,124.5 (18.3),106.000,0.011 (0.007),0.999 (0.001),147.7 (21.3),130.000,0.010 (0.007),0.999 (0.001),163.7 (22.5),141.000,0.011 (0.007),0.998 (0.001),172.2 (24.5),151.000,0.010 (0.007),0.999 (0.001)
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,778.6 (81.5),502.000,0.023 (0.004),0.994 (0.002),696.4 (56.3),550.000,0.016 (0.003),0.997 (0.001),844.6 (83.5),573.000,0.021 (0.004),0.994 (0.002),852.1 (79.2),595.000,0.021 (0.003),0.994 (0.002)
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,115.3 (15.1),106.000,0.016 (0.013),0.997 (0.003),137.6 (16.4),130.000,0.014 (0.012),0.997 (0.003),150.9 (17.2),141.000,0.015 (0.012),0.997 (0.003),160.3 (17.7),151.000,0.014 (0.011),0.997 (0.003)
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,572.8 (37.4),502.000,0.023 (0.007),0.994 (0.004),584.8 (29.9),550.000,0.015 (0.007),0.997 (0.003),645.9 (40.1),573.000,0.022 (0.007),0.993 (0.004),663.9 (39.5),595.000,0.020 (0.007),0.994 (0.004)
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,132.7 (23.6),106.000,0.014 (0.008),0.998 (0.001),154.1 (23.8),130.000,0.012 (0.007),0.998 (0.001),174.3 (27.5),141.000,0.014 (0.007),0.998 (0.002),182.6 (27.3),151.000,0.013 (0.007),0.998 (0.002)
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,776.7 (66.4),502.000,0.023 (0.003),0.994 (0.002),695.1 (49.7),550.000,0.016 (0.003),0.997 (0.001),843.8 (69.4),573.000,0.022 (0.003),0.994 (0.002),851.2 (67.6),595.000,0.021 (0.003),0.994 (0.002)
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,99.5 (13.6),106.000,0.004 (0.009),1.000 (0.001),123.7 (15.8),130.000,0.005 (0.010),0.999 (0.001),139.5 (16.4),141.000,0.007 (0.011),0.999 (0.002),144.4 (16.3),151.000,0.005 (0.009),0.999 (0.001)
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,501.1 (23.4),502.000,0.005 (0.006),0.999 (0.001),540.8 (21.1),550.000,0.003 (0.005),1.000 (0.001),573.4 (22.3),573.000,0.005 (0.006),0.999 (0.001),591.3 (22.9),595.000,0.004 (0.006),1.000 (0.001)
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,95.8 (14.5),106.000,0.002 (0.004),1.000 (0.000),117.8 (15.1),130.000,0.002 (0.003),1.000 (0.000),134.1 (15.8),141.000,0.003 (0.004),1.000 (0.000),140.6 (16.3),151.000,0.002 (0.004),1.000 (0.000)
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,499.9 (27.6),502.000,0.003 (0.003),1.000 (0.000),543.3 (25),550.000,0.002 (0.003),1.000 (0.000),582.1 (28.1),573.000,0.004 (0.004),1.000 (0.000),597.5 (30),595.000,0.003 (0.004),1.000 (0.000)
