,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Int_chi,ARS_Int_df,ARS_Int_RMSEA,ARS_Int_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,109.9 (13.4),106.000,0.011 (0.012),0.997 (0.004),134.7 (14.1),130.000,0.011 (0.011),0.997 (0.005),146.2 (16),141.000,0.012 (0.011),0.996 (0.005),155.8 (18.6),151.000,0.011 (0.012),0.996 (0.006)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,515.0 (22.1),502.000,0.009 (0.007),0.997 (0.002),562.7 (22.4),550.000,0.009 (0.007),0.997 (0.002),586 (23.9),573.000,0.009 (0.007),0.997 (0.003),607.4 (26.4),595.000,0.008 (0.007),0.997 (0.003)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,106.2 (13.4),106.000,0.004 (0.006),0.999 (0.001),129.8 (14.8),130.000,0.004 (0.005),0.999 (0.001),142.1 (17.4),141.000,0.005 (0.006),0.999 (0.001),152.1 (20.4),151.000,0.004 (0.006),0.999 (0.002)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,507.1 (25.3),502.000,0.004 (0.004),1.000 (0.001),555.4 (26.5),550.000,0.004 (0.003),1.000 (0.001),578.9 (30.7),573.000,0.004 (0.004),0.999 (0.001),597.3 (34),595.000,0.003 (0.004),0.999 (0.001)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,111.3 (12.4),106.000,0.013 (0.012),0.997 (0.004),135.3 (13.6),130.000,0.012 (0.011),0.997 (0.004),147.2 (14.6),141.000,0.012 (0.011),0.996 (0.004),156.2 (16.2),151.000,0.012 (0.011),0.996 (0.005)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,514.4 (23.5),502.000,0.009 (0.008),0.998 (0.003),563 (24.7),550.000,0.009 (0.007),0.997 (0.003),586.5 (26.3),573.000,0.009 (0.007),0.997 (0.003),606.5 (28),595.000,0.008 (0.007),0.997 (0.003)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,106.6 (15.1),106.000,0.005 (0.006),0.999 (0.001),130.4 (16.7),130.000,0.005 (0.006),0.999 (0.001),141.2 (20),141.000,0.005 (0.006),0.999 (0.001),153.2 (21.5),151.000,0.005 (0.006),0.999 (0.002)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,510.7 (24.6),502.000,0.004 (0.004),0.999 (0.001),559.1 (25),550.000,0.004 (0.003),0.999 (0.001),581.7 (30.8),573.000,0.004 (0.004),0.999 (0.001),603.5 (36.8),595.000,0.004 (0.004),0.999 (0.001)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,99.1 (12.3),106.000,0.005 (0.008),0.999 (0.002),118.8 (13.3),130.000,0.003 (0.007),0.999 (0.002),134.9 (14),141.000,0.005 (0.008),0.999 (0.003),141.7 (13.4),151.000,0.003 (0.007),0.999 (0.002)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,510.5 (24.4),502.000,0.008 (0.008),0.998 (0.002),548.8 (23.4),550.000,0.005 (0.006),0.999 (0.002),580.2 (24.5),573.000,0.007 (0.007),0.998 (0.002),594.7 (23.7),595.000,0.005 (0.006),0.999 (0.002)
