,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Thr_comb,ARS_Load_chi,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Load_comb,ARS_Int_chi,ARS_Int_RMSEA,ARS_Int_cfi,ARS_Int_comb
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.070,0.050,0.070,0.000,0.030,0.010,0.010
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.050,0.010,0.000,0.000,0.000,0.030,0.010,0.030,0.000,0.050,0.010,0.030
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.010,0.036,0.000,0.000,0.000,0.222,0.111,0.040,0.000,0.080,0.000,0.010
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.029,0.000,0.000
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.040,0.000,0.020,0.000,0.010
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.020,0.000,0.000,0.000,0.000
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.000,0.040,0.000,0.010
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.000,0.000,0.000,0.000
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.020,0.032,0.000,0.000,0.000,0.111,0.000,0.020,0.000,0.079,0.000,0.000
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.018,0.000,0.000
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.010,0.000,0.021,0.000,0.010
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
