,seed,sample,scale,j,c,ARS,Nfac,item_NoARS_Thr_chi,item_NoARS_Load_chi,item_ARS_Thr_chi,item_ARS_Load_chi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,0.050,0.000,0.049,0.047
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,0.050,0.000,0.051,0.050
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,0.052,0.001,0.053,0.049
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,0.053,0.000,0.051,0.051
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,0.053,0.003,0.052,0.052
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,0.056,0.003,0.054,0.050
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,0.068,0.002,0.047,0.049
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,0.064,0.001,0.049,0.046
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,0.046,0.002,0.055,0.071
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,0.056,0.000,0.058,0.059
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,0.056,0.001,0.043,0.049
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,0.042,0.000,0.048,0.046
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,0.055,0.002,0.061,0.084
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,0.052,0.000,0.060,0.096
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,0.069,0.002,0.093,0.138
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,0.065,0.000,0.085,0.207
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,0.133,0.010,0.060,0.078
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,0.076,0.002,0.057,0.094
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,0.291,0.029,0.081,0.096
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,0.173,0.007,0.087,0.150
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,0.046,0.000,0.047,0.056
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,0.055,0.000,0.055,0.052
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,0.068,0.003,0.061,0.053
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,0.062,0.000,0.051,0.048
