,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,123.4 (17.1),106.000,0.023 (0.013),0.986 (0.011),148.8 (19),130.000,0.021 (0.013),0.985 (0.013),159.3 (18.3),140.000,0.021 (0.012),0.984 (0.013),203.4 (25.6),150.000,0.036 (0.011),0.959 (0.020)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,558.2 (32.2),502.000,0.020 (0.007),0.986 (0.008),608.2 (33.4),550.000,0.019 (0.007),0.985 (0.008),628.3 (33.4),572.000,0.019 (0.007),0.986 (0.008),697.4 (36.6),594.000,0.026 (0.005),0.974 (0.009)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,163.4 (22.1),106.000,0.023 (0.004),0.989 (0.004),192.7 (24.4),130.000,0.022 (0.004),0.988 (0.005),201.4 (25.8),140.000,0.020 (0.004),0.988 (0.005),353.2 (48.4),150.000,0.037 (0.004),0.961 (0.009)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,705.0 (58.7),502.000,0.020 (0.003),0.988 (0.004),761.1 (60.9),550.000,0.019 (0.003),0.987 (0.004),781.2 (60.6),572.000,0.019 (0.003),0.988 (0.004),1054.7 (80.7),594.000,0.028 (0.003),0.973 (0.005)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,122.4 (14.4),106.000,0.022 (0.012),0.987 (0.010),147.9 (15.9),130.000,0.021 (0.012),0.986 (0.011),158.3 (16.1),140.000,0.020 (0.012),0.985 (0.011),195.1 (22.7),150.000,0.033 (0.010),0.966 (0.017)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,553.3 (32.6),502.000,0.019 (0.007),0.987 (0.008),602.9 (34),550.000,0.018 (0.007),0.987 (0.008),624.8 (35.8),572.000,0.018 (0.007),0.987 (0.009),686.9 (41.2),594.000,0.024 (0.006),0.977 (0.011)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,151.2 (22.1),106.000,0.020 (0.006),0.991 (0.004),179.7 (24.3),130.000,0.019 (0.006),0.991 (0.005),191.7 (24.3),140.000,0.019 (0.005),0.990 (0.004),323.8 (39),150.000,0.034 (0.004),0.967 (0.007)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,669.5 (35.6),502.000,0.018 (0.002),0.990 (0.002),723.9 (37.6),550.000,0.018 (0.002),0.990 (0.002),747.1 (37.5),572.000,0.017 (0.002),0.990 (0.002),971.3 (60.7),594.000,0.025 (0.002),0.977 (0.004)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,109.8 (16.2),106.000,0.012 (0.013),0.994 (0.008),134.2 (17.8),130.000,0.011 (0.012),0.994 (0.009),144.3 (18.1),140.000,0.011 (0.012),0.993 (0.009),154.2 (19.1),150.000,0.011 (0.012),0.993 (0.009)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,520.7 (28.2),502.000,0.011 (0.008),0.995 (0.005),569.3 (29.1),550.000,0.010 (0.008),0.995 (0.006),592.1 (31.1),572.000,0.010 (0.008),0.994 (0.006),612.8 (32),594.000,0.010 (0.008),0.994 (0.006)
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,106.3 (12.9),106.000,0.004 (0.005),0.999 (0.001),130.7 (14.5),130.000,0.004 (0.005),0.999 (0.002),141.1 (16.1),140.000,0.005 (0.005),0.999 (0.002),150.9 (17.4),150.000,0.004 (0.005),0.999 (0.002)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,507.5 (32.0),502.000,0.004 (0.004),0.999 (0.001),556 (33.6),550.000,0.004 (0.004),0.999 (0.001),576.3 (34.6),572.000,0.004 (0.004),0.999 (0.001),596.3 (34.2),594.000,0.003 (0.004),0.999 (0.001)
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,392.1 (65.8),106.000,0.103 (0.012),0.866 (0.031),441.7 (71.9),130.000,0.097 (0.011),0.854 (0.034),447.9 (71.7),140.000,0.093 (0.011),0.855 (0.034),574.9 (81.9),150.000,0.106 (0.010),0.800 (0.039)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1415.5 (175.1),502.000,0.085 (0.008),0.862 (0.026),1494.6 (181.5),550.000,0.083 (0.008),0.857 (0.027),1501.6 (179.5),572.000,0.080 (0.008),0.860 (0.027),1686.1 (200),594.000,0.086 (0.008),0.835 (0.030)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1315.6 (148.4),106.000,0.107 (0.007),0.857 (0.019),1456.5 (162.8),130.000,0.101 (0.006),0.843 (0.021),1461.1 (162.6),140.000,0.097 (0.006),0.844 (0.021),1985.9 (204.7),150.000,0.111 (0.006),0.783 (0.027)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,4378.3 (357.6),502.000,0.088 (0.004),0.853 (0.014),4586.4 (372.3),550.000,0.086 (0.004),0.847 (0.014),4584.4 (370.9),572.000,0.084 (0.004),0.848 (0.014),5392.3 (414.1),594.000,0.090 (0.004),0.818 (0.016)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,377.6 (66.3),106.000,0.101 (0.012),0.879 (0.030),425.2 (71.9),130.000,0.095 (0.011),0.868 (0.033),437.7 (71.3),140.000,0.092 (0.011),0.867 (0.032),538.1 (87.1),150.000,0.101 (0.011),0.827 (0.040)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1382.4 (176.7),502.000,0.083 (0.009),0.872 (0.028),1459.6 (182.4),550.000,0.081 (0.008),0.868 (0.028),1468.6 (180.1),572.000,0.079 (0.008),0.870 (0.028),1616.4 (193.9),594.000,0.083 (0.008),0.851 (0.030)
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,1188.6 (111.9),106.000,0.101 (0.005),0.877 (0.013),1316.3 (122.7),130.000,0.095 (0.005),0.866 (0.014),1338 (122.4),140.000,0.092 (0.005),0.864 (0.014),1771.5 (145.7),150.000,0.104 (0.005),0.816 (0.017)
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,4192.1 (371.8),502.000,0.086 (0.004),0.864 (0.014),4390.7 (387.3),550.000,0.083 (0.004),0.858 (0.015),4402.5 (387.1),572.000,0.082 (0.004),0.858 (0.014),5084.9 (425.6),594.000,0.087 (0.004),0.834 (0.016)
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,110.3 (15.4),106.000,0.012 (0.013),0.998 (0.003),134.5 (16.7),130.000,0.012 (0.012),0.997 (0.004),143.9 (18.2),140.000,0.011 (0.012),0.997 (0.004),154 (18.4),150.000,0.011 (0.011),0.997 (0.004)
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,515.6 (29.1),502.000,0.009 (0.008),0.998 (0.002),564.4 (30),550.000,0.009 (0.008),0.998 (0.002),587.7 (29.8),572.000,0.009 (0.008),0.998 (0.003),608.3 (29.9),594.000,0.009 (0.008),0.998 (0.003)
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,114.8 (14.3),106.000,0.008 (0.006),0.999 (0.001),139.9 (16.4),130.000,0.007 (0.006),0.999 (0.001),152.6 (17.8),140.000,0.008 (0.006),0.999 (0.001),161.4 (18.9),150.000,0.007 (0.006),0.999 (0.001)
