,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
54,200855,1000.000,unbalanced,12.000,5.000,0.300,2.000,119.1 (18.7),106.000,0.010 (0.007),0.997 (0.003),144.5 (20.1),130.000,0.009 (0.007),0.997 (0.003),156.9 (21.1),140.000,0.009 (0.007),0.997 (0.003),189.7 (26.3),NA,0.015 (0.006),0.993 (0.004)
60,200861,1000.000,unbalanced,24.000,5.000,0.300,2.000,538.1 (34.2),502.000,0.007 (0.005),0.998 (0.002),587.2 (35.2),550.000,0.007 (0.004),0.998 (0.002),614.4 (35.6),572.000,0.008 (0.004),0.998 (0.002),679 (42.1),NA,0.012 (0.003),0.995 (0.002)
61,200862, 250.000,balanced,12.000,5.000,0.600,2.000,423.0 (78.6),106.000,0.109 (0.014),0.924 (0.021),473.2 (85.2),130.000,0.102 (0.013),0.918 (0.022),489.7 (86.2),140.000,0.099 (0.012),0.916 (0.023),597.8 (95),NA,0.109 (0.012),0.893 (0.025)
67,200868, 250.000,balanced,24.000,5.000,0.600,2.000,1467.9 (179.6),502.000,0.088 (0.008),0.927 (0.016),1546.8 (185.7),550.000,0.085 (0.008),0.925 (0.016),1570.7 (182.7),572.000,0.083 (0.008),0.924 (0.016),1748.8 (188.9),NA,0.088 (0.007),0.913 (0.017)
62,200863,1000.000,balanced,12.000,5.000,0.600,2.000,1408.8 (156.1),106.000,0.111 (0.007),0.922 (0.011),1548.9 (170.1),130.000,0.104 (0.006),0.915 (0.011),1588.9 (173.7),140.000,0.102 (0.006),0.913 (0.012),2041.9 (201.9),NA,0.112 (0.006),0.887 (0.014)
68,200869,1000.000,balanced,24.000,5.000,0.600,2.000,4713.8 (343.7),502.000,0.092 (0.004),0.921 (0.006),4928.2 (357.7),550.000,0.089 (0.004),0.918 (0.007),4993.3 (363.4),572.000,0.088 (0.004),0.918 (0.007),5759.8 (384.8),NA,0.093 (0.004),0.904 (0.007)
63,200864, 250.000,semi-balanced,12.000,5.000,0.600,2.000,788.5 (109.4),106.000,0.160 (0.013),0.905 (0.021),869.7 (118.5),130.000,0.151 (0.012),0.897 (0.023),864.9 (117.8),140.000,0.144 (0.012),0.899 (0.023),991.8 (131.3),NA,0.150 (0.012),0.883 (0.026)
69,200870, 250.000,semi-balanced,24.000,5.000,0.600,2.000,1968.1 (220.3),502.000,0.108 (0.008),0.941 (0.012),2066.3 (228.1),550.000,0.105 (0.008),0.939 (0.012),2076.1 (227.1),572.000,0.102 (0.008),0.940 (0.012),2275 (241.9),NA,0.106 (0.008),0.933 (0.013)
64,200865,1000.000,semi-balanced,12.000,5.000,0.600,2.000,2839.3 (240.2),106.000,0.161 (0.007),0.905 (0.011),3111.2 (262.5),130.000,0.151 (0.007),0.896 (0.012),3085.2 (262.1),140.000,0.145 (0.006),0.897 (0.011),3606.9 (288.9),NA,0.152 (0.006),0.879 (0.012)
70,200871,1000.000,semi-balanced,24.000,5.000,0.600,2.000,6842.5 (452.5),502.000,0.112 (0.004),0.938 (0.005),7148.7 (471.5),550.000,0.110 (0.004),0.936 (0.006),7180.5 (471.3),572.000,0.107 (0.004),0.936 (0.005),8048.2 (498.5),NA,0.112 (0.004),0.928 (0.006)
65,200866, 250.000,unbalanced,12.000,5.000,0.600,2.000,121.6 (17.5),106.000,0.021 (0.014),0.997 (0.003),147.3 (18.8),130.000,0.020 (0.013),0.996 (0.003),159.2 (19.3),140.000,0.021 (0.012),0.996 (0.003),171.8 (19.6),NA,0.022 (0.012),0.996 (0.003)
71,200872, 250.000,unbalanced,24.000,5.000,0.600,2.000,552.7 (35.6),502.000,0.019 (0.008),0.997 (0.002),602.3 (36.2),550.000,0.018 (0.008),0.997 (0.002),627.7 (36.1),572.000,0.018 (0.007),0.996 (0.002),653.4 (37.4),NA,0.019 (0.007),0.996 (0.002)
66,200867,1000.000,unbalanced,12.000,5.000,0.600,2.000,160.3 (27.1),106.000,0.022 (0.006),0.997 (0.001),189.8 (29.8),130.000,0.021 (0.006),0.997 (0.001),211.4 (30.5),140.000,0.022 (0.005),0.997 (0.001),234.6 (32.7),NA,0.023 (0.005),0.996 (0.002)
72,200873,1000.000,unbalanced,24.000,5.000,0.600,2.000,670.2 (62.5),502.000,0.018 (0.004),0.997 (0.001),726 (64.2),550.000,0.018 (0.004),0.997 (0.001),771.3 (65.1),572.000,0.018 (0.003),0.997 (0.001),818.7 (66.8),NA,0.019 (0.003),0.996 (0.001)
