,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
49,200850, 250.000,balanced,12.000,5.000,0.300,2.000,125.4 (18.7),106.000,0.024 (0.015),0.985 (0.013),150.9 (20.4),130.000,0.022 (0.014),0.984 (0.014),162.5 (20.9),140.000,0.022 (0.014),0.983 (0.014),202.1 (24.5),NA,0.036 (0.010),0.961 (0.018)
55,200856, 250.000,balanced,24.000,5.000,0.300,2.000,574.5 (37.6),502.000,0.023 (0.007),0.983 (0.009),624.6 (38.9),550.000,0.022 (0.007),0.982 (0.009),647.9 (37.7),572.000,0.022 (0.006),0.982 (0.009),720 (46.1),NA,0.029 (0.005),0.970 (0.011)
50,200851,1000.000,balanced,12.000,5.000,0.300,2.000,179.2 (26.0),106.000,0.026 (0.005),0.987 (0.005),209.5 (28.2),130.000,0.024 (0.004),0.985 (0.005),221.3 (28.7),140.000,0.024 (0.004),0.985 (0.005),364.7 (42.7),NA,0.038 (0.004),0.961 (0.008)
56,200857,1000.000,balanced,24.000,5.000,0.300,2.000,749.0 (65.5),502.000,0.022 (0.003),0.986 (0.004),806.3 (68),550.000,0.021 (0.003),0.986 (0.004),832.6 (69.4),572.000,0.021 (0.003),0.985 (0.004),1101.5 (86.5),NA,0.029 (0.002),0.971 (0.005)
51,200852, 250.000,semi-balanced,12.000,5.000,0.300,2.000,124.4 (15.8),106.000,0.024 (0.013),0.985 (0.011),150 (16.8),130.000,0.022 (0.012),0.984 (0.012),159.1 (17.4),140.000,0.021 (0.012),0.984 (0.013),201.9 (23.9),NA,0.036 (0.009),0.959 (0.019)
57,200858, 250.000,semi-balanced,24.000,5.000,0.300,2.000,560.6 (32.2),502.000,0.021 (0.007),0.985 (0.008),610.3 (33.4),550.000,0.020 (0.007),0.985 (0.008),632.4 (32.5),572.000,0.020 (0.006),0.985 (0.008),697.5 (40.5),NA,0.026 (0.005),0.974 (0.010)
52,200853,1000.000,semi-balanced,12.000,5.000,0.300,2.000,158.0 (21.6),106.000,0.022 (0.005),0.990 (0.004),186.9 (24.1),130.000,0.020 (0.005),0.989 (0.005),194.4 (25.1),140.000,0.019 (0.005),0.989 (0.005),331.2 (38.7),NA,0.035 (0.004),0.965 (0.008)
58,200859,1000.000,semi-balanced,24.000,5.000,0.300,2.000,703.4 (50.6),502.000,0.020 (0.003),0.988 (0.003),758.8 (52.6),550.000,0.019 (0.002),0.988 (0.003),777.2 (53.6),572.000,0.019 (0.002),0.988 (0.003),1022.7 (80),NA,0.027 (0.003),0.974 (0.005)
53,200854, 250.000,unbalanced,12.000,5.000,0.300,2.000,112.5 (15.4),106.000,0.015 (0.013),0.993 (0.007),137 (16.7),130.000,0.014 (0.012),0.993 (0.008),147.9 (17.6),140.000,0.014 (0.012),0.992 (0.008),163.2 (19),NA,0.016 (0.012),0.990 (0.011)
59,200860, 250.000,unbalanced,24.000,5.000,0.300,2.000,522.3 (28.7),502.000,0.011 (0.008),0.995 (0.005),570.7 (30.1),550.000,0.011 (0.008),0.994 (0.005),594.7 (30.1),572.000,0.011 (0.008),0.994 (0.006),624.7 (30.5),NA,0.013 (0.008),0.993 (0.006)
